Date,ITSA4,GOAU4,EMBR3,TOTS3,CPFE3,MGLU3
11/16/16,6.206964,4.635589,17.333855,22.661671,21.66687,0.965889
11/17/16,6.059676,4.682892,17.499775,23.285484,21.603542,0.967468
11/18/16,6.157867,4.768035,17.089855,22.905315,21.80257,0.983703
11/21/16,6.220989,4.919401,16.582329,22.729927,21.893038,1.011646
11/22/16,6.220989,5.099149,15.957689,22.876118,21.974459,1.017652
11/23/16,6.108773,5.505946,16.387127,22.798092,21.920179,1.037369
11/24/16,6.059676,5.534327,16.221209,22.817623,22.146347,1.026937
11/25/16,6.031625,5.666771,16.49449,22.905315,22.119205,1.026937
11/28/16,6.087734,5.941123,16.396891,22.320562,22.245859,1.035473
11/29/16,5.968503,5.723535,16.094328,21.94039,22.200626,1.066472
11/30/16,6.038638,5.524867,16.172407,20.965698,22.309187,1.09652
12/1/16,5.741117,5.108609,16.514008,21.150852,22.001596,1.059616
12/2/16,5.762196,5.222133,16.592093,21.00466,22.028738,1.043806
12/5/16,5.734093,5.288357,16.455448,21.063156,22.01969,1.031154
12/6/16,5.860579,5.316738,16.104088,22.271832,22.064924,1.074907
12/7/16,5.874632,5.458643,16.553047,22.612938,22.073971,1.079124
12/8/16,5.867603,5.515406,15.811288,22.671436,21.974459,1.111176
12/9/16,5.902736,5.241054,15.655127,23.285484,22.381559,1.119712
12/12/16,5.670848,4.777496,15.215923,22.954048,22.426794,1.091351
12/13/16,5.698954,4.588288,15.108562,23.295252,22.725336,1.110225
12/14/16,5.663823,4.266635,15.059763,22.203568,22.725336,1.086081
12/15/16,5.663823,4.64505,14.640081,22.418018,22.725336,1.119186
12/16/16,5.635711,4.323398,15.147602,22.418018,22.734381,1.128154
12/19/16,5.537337,4.219332,14.835281,22.466749,22.76152,1.104955
12/20/16,5.593553,4.342318,14.59128,22.58374,22.698193,1.093882
12/21/16,5.593553,4.446381,14.923121,22.85659,22.734381,1.122034
12/22/16,5.635711,4.266635,14.893844,23.51577,22.743427,1.114969
12/23/16,5.771307,4.295016,14.932883,23.525639,22.752476,1.115502
12/26/16,5.844362,4.370699,15.079283,23.574896,22.707243,1.117607
12/27/16,5.822449,4.550447,15.235443,23.614275,22.725336,1.106008
12/28/16,5.902806,4.512604,15.313523,23.781775,22.716288,1.118977
12/29/16,6.048913,4.540986,15.616085,23.68327,22.806753,1.119402
1/2/17,5.997773,4.484223,15.616085,23.239992,22.85199,1.072376
1/3/17,6.260777,4.635589,15.967447,24.432035,22.906267,1.069111
1/4/17,6.2973,4.682892,15.782006,24.284275,22.85199,1.012172
1/5/17,6.355743,4.909942,16.104088,24.412292,22.806753,1.046964
