Date,^GSPC,^DJI,^IXIC,^BVSP
9/13/16,2127.02002,18325.07031,5155.25,57080
9/14/16,2125.77002,18066.75,5173.77002,57350
9/15/16,2147.26001,18034.76953,5249.689941,57736
9/16/16,2139.159912,18212.48047,5244.569824,58394
9/19/16,2139.120117,18123.80078,5235.029785,58994
9/20/16,2139.76001,18120.16992,5241.350098,58697
9/21/16,2163.120117,18129.96094,5295.180176,58054
9/22/16,2177.179932,18293.69922,5339.52002,58382
9/23/16,2164.689941,18392.46094,5305.75,59356
9/26/16,2146.100098,18261.44922,5257.490234,58351
9/27/16,2159.929932,18094.83008,5305.709961,58367
9/28/16,2171.370117,18228.30078,5318.549805,59461
9/29/16,2151.129883,18339.24023,5269.149902,59339
9/30/16,2168.27002,18143.44922,5312,60254
10/3/16,2161.199951,18308.15039,5300.870117,60644
10/4/16,2150.48999,18253.84961,5289.660156,61109
10/5/16,2159.72998,18168.44922,5316.02002,61668
10/6/16,2160.77002,18281.0293,5306.850098,61022
10/7/16,2153.73999,18268.5,5292.399902,61119
10/10/16,2163.659912,18240.49023,5328.669922,61767
10/11/16,2136.72998,18329.03906,5246.790039,62696
10/12/16,2139.179932,18128.66016,5239.02002,63782
10/13/16,2132.550049,18144.19922,5213.330078,63506
10/14/16,2132.97998,18098.93945,5214.160156,63838
10/17/16,2126.5,18138.38086,5199.819824,64108
10/18/16,2139.600098,18086.40039,5243.839844,64060
10/19/16,2144.290039,18161.93945,5246.410156,63866
10/20/16,2141.340088,18202.61914,5241.830078,63826
10/21/16,2141.159912,18162.34961,5257.399902,64250
10/24/16,2151.330078,18145.71094,5309.830078,64308
10/25/16,2143.159912,18223.0293,5283.399902,64925
10/26/16,2139.429932,18169.26953,5250.27002,63326
10/27/16,2133.040039,18199.33008,5215.970215,61750
10/28/16,2126.409912,18169.67969,5190.100098,61598
10/31/16,2126.149902,18161.18945,5189.140137,64052
11/1/16,2111.719971,18142.41992,5153.580078,64158
11/2/16,2097.939941,18037.09961,5105.569824,63258
11/3/16,2088.659912,17959.64063,5058.410156,61201
11/4/16,2085.179932,17930.66992,5046.370117,59184
11/7/16,2131.52002,17888.2793,5166.169922,59657
11/8/16,2139.560059,18259.59961,5193.490234,60759
11/9/16,2163.26001,18332.74023,5251.069824,59770
11/10/16,2167.47998,18589.68945,5208.799805,59962
11/11/16,2164.449951,18807.88086,5237.109863,61070
11/14/16,2164.199951,18847.66016,5218.399902,61954
11/15/16,2180.389893,18868.68945,5275.620117,61986
11/16/16,2176.939941,18923.06055,5294.580078,61396
11/17/16,2187.120117,18868.14063,5333.970215,61559
11/18/16,2181.899902,18903.82031,5321.509766,62855
11/21/16,2198.179932,18867.92969,5368.859863,60987
11/22/16,2202.939941,18956.68945,5386.350098,61906
11/23/16,2204.719971,19023.86914,5380.680176,59507
11/25/16,2213.350098,19083.17969,5398.919922,60316
11/28/16,2201.719971,19152.14063,5368.810059,59832
11/29/16,2204.659912,19097.90039,5379.919922,61088
11/30/16,2198.810059,19121.59961,5323.680176,61414
12/1/16,2191.080078,19123.58008,5251.109863,60677
12/2/16,2191.949951,19191.92969,5255.649902,60501
12/5/16,2204.709961,19170.41992,5308.890137,59179
12/6/16,2212.22998,19216.24023,5333,59281
12/7/16,2241.350098,19251.7793,5393.759766,58212
12/8/16,2246.189941,19549.61914,5417.359863,58396
12/9/16,2259.530029,19614.81055,5444.5,58389
12/12/16,2256.959961,19756.84961,5412.540039,57111
12/13/16,2271.719971,19796.42969,5463.830078,57583
12/14/16,2253.280029,19911.21094,5436.669922,57647
12/15/16,2262.030029,19792.5293,5456.850098,57255
12/16/16,2258.070068,19852.24023,5437.160156,57937
12/19/16,2262.530029,19843.41016,5457.439941,58620
12/20/16,2270.76001,19883.06055,5483.939941,58697
12/21/16,2265.179932,19974.61914,5471.430176,59782
12/22/16,2260.959961,19941.96094,5447.419922,60227
12/23/16,2263.790039,19918.88086,5462.689941,59589
12/27/16,2268.879883,19933.81055,5487.439941,61814
12/28/16,2249.919922,19945.03906,5438.560059,61589
12/29/16,2249.26001,19833.67969,5432.089844,62071
12/30/16,2238.830078,19819.7793,5383.120117,61665
1/3/17,2257.830078,19762.59961,5429.080078,61700
1/4/17,2270.75,19881.75977,5477,62132
1/5/17,2269,19942.16016,5487.939941,62446
1/6/17,2276.97998,19899.28906,5521.060059,63954
1/9/17,2268.899902,19963.80078,5531.819824,63652
1/10/17,2268.899902,19887.38086,5551.819824,63831
1/11/17,2275.320068,19855.5293,5563.649902,64354
1/12/17,2270.439941,19954.2793,5547.490234,64150
1/13/17,2274.639893,19891,5574.120117,63951
1/17/17,2267.889893,19885.73047,5538.72998,64521
1/18/17,2271.889893,19826.76953,5555.649902,65749
1/19/17,2263.689941,19804.7207,5540.080078,65840
1/20/17,2271.310059,19732.40039,5555.330078,66191
1/23/17,2265.199951,19827.25,5552.939941,66034
1/24/17,2280.070068,19799.84961,5600.959961,64302
1/25/17,2298.370117,19912.71094,5656.339844,64671
1/26/17,2296.679932,20068.50977,5655.180176,64836
1/27/17,2294.689941,20100.91016,5660.779785,64578
1/30/17,2280.899902,20093.7793,5613.709961,64954
1/31/17,2278.870117,19971.13086,5614.790039,63993
2/1/17,2279.550049,19864.08984,5642.649902,64199
2/2/17,2280.850098,19890.93945,5636.200195,64835
2/3/17,2297.419922,19884.91016,5666.77002,64965
2/6/17,2292.560059,20071.46094,5663.549805,66125
